CITY,COUNTY,FACILITY_TYPE,TTL_BEDS,hos_Longitude,hos_Latitude,hf_Longitude,hf_Latitude
VIERA ,BREVARD,HOSPITAL - VA,,-80.74290299,28.25498017,,
PATRICK AFB,BREVARD,HOSPITAL - VA,,-80.60516000,28.21663000,,
HOLLYWOOD,BROWARD,HOSPITAL - TRAUMA,777.0,-80.18000755,26.01891635,,
FORT LAUDERDALE,BROWARD,HOSPITAL - TRAUMA,716.0,-80.14022481,26.10355622,,
POMPANO BEACH,BROWARD,HOSPITAL - TRAUMA,409.0,-80.12211756,26.27749614,,
TAMARAC,BROWARD,HOSPITAL - ACUTE CARE,317.0,-80.25493586,26.21223379,,
CORAL SPRINGS,BROWARD,HOSPITAL - ACUTE CARE,200.0,-80.25574615,26.26921780,,
PEMBROKE PINES,BROWARD,HOSPITAL - ACUTE CARE,350.0,-80.25070538,26.00282918,,
WESTON,BROWARD,HOSPITAL - ACUTE CARE,155.0,-80.36535470,26.08224781,,
FORT LAUDERDALE,BROWARD,HOSPITAL - ACUTE CARE,557.0,-80.11860949,26.18673459,,
MARGATE,BROWARD,HOSPITAL - ACUTE CARE,228.0,-80.20229839,26.26308837,,
LAUDERDALE LAKES,BROWARD,HOSPITAL - ACUTE CARE,459.0,-80.21857736,26.16304106,,
MIRAMAR,BROWARD,HOSPITAL - ACUTE CARE,178.0,-80.37276267,25.99165811,,
PEMBROKE PINES,BROWARD,HOSPITAL - ACUTE CARE,384.0,-80.31128852,26.01307342,,
FORT LAUDERDALE,BROWARD,HOSPITAL - ACUTE CARE,204.0,-80.11133432,26.20681423,,
FORT LAUDERDALE,BROWARD,HOSPITAL,72.0,-80.11855531,26.18448426,,
HOLLYWOOD,BROWARD,HOSPITAL,50.0,-80.18079700,26.02090600,,
FORT LAUDERDALE,BROWARD,HOSPITAL,70.0,-80.12766802,26.11920950,,
SUNRISE,BROWARD,HOSPITAL,126.0,-80.28444503,26.17785514,,
HOLLYWOOD,BROWARD,HOSPITAL,119.0,-80.14434300,26.00978669,,
LAUDERDALE LAKES,BROWARD,HOSPITAL,26.0,-80.19349620,26.16370472,,
FORT LAUDERDALE,BROWARD,HOSPITAL,100.0,-80.12674654,26.11965888,,
PEMBROKE PINES,BROWARD,HOSPITAL - ACUTE CARE,301.0,-80.24645803,26.02968522,,
PLANTATION,BROWARD,HOSPITAL - ACUTE CARE,224.0,-80.26017627,26.12361489,,
HOLLYWOOD,BROWARD,HOSPITAL - ACUTE CARE,267.0,-80.17991010,26.00243612,,
PLANTATION,BROWARD,HOSPITAL - ACUTE CARE,364.0,-80.20578066,26.12591890,,
BLOUNTSTOWN,CALHOUN,HOSPITAL - ACUTE CARE,25.0,-85.05009111,30.45843904,,
PORT CHARLOTTE,CHARLOTTE,HOSPITAL - ACUTE CARE,237.0,-82.09831509,26.98840069,,
PUNTA GORDA,CHARLOTTE,HOSPITAL - ACUTE CARE,208.0,-82.03985766,26.94083026,,
PORT CHARLOTTE,CHARLOTTE,HOSPITAL - ACUTE CARE,254.0,-82.09575217,26.98894384,,
INVERNESS,CITRUS,HOSPITAL - ACUTE CARE,204.0,-82.33544165,28.83356199,,
CRYSTAL RIVER,CITRUS,HOSPITAL - ACUTE CARE,128.0,-82.62495118,28.95199887,,
ORANGE PARK,CLAY,HOSPITAL - ACUTE CARE,297.0,-81.73751973,30.16615986,,
MIDDLEBURG,CLAY,HOSPITAL - ACUTE CARE,,-81.83298122,30.10885499,,
FLEMING ISLAND,CLAY,HOSPITAL,,-81.71018188,30.07901060,,
GREEN COVE SPRINGS,CLAY,HOSPITAL,80.0,-81.68205584,29.98780600,,
NAPLES,COLLIER,HOSPITAL,87.0,-81.73633250,26.09601601,,
NAPLES,COLLIER,HOSPITAL - ACUTE CARE,322.0,-81.78864791,26.27445192,,
NAPLES ,COLLIER,HOSPITAL - ACUTE CARE,50.0,-81.78863847,26.27021071,,
NAPLES,COLLIER,HOSPITAL - ACUTE CARE,101.0,-81.73267494,26.21393595,,
NAPLES,COLLIER,HOSPITAL - ACUTE CARE,391.0,-81.79818450,26.15091683,,
NAPLES,COLLIER,HOSPITAL - ACUTE CARE,100.0,-81.68475853,26.10563729,,
LAKE CITY,COLUMBIA,HOSPITAL - ACUTE CARE,99.0,-82.63271100,30.19345300,,
LAKE CITY,COLUMBIA,HOSPITAL - ACUTE CARE,91.0,-82.68739989,30.18391868,,
LAKE CITY ,COLUMBIA,HOSPITAL - VA,47.0,-82.63689000,30.18183600,,
ARCADIA,DESOTO,HOSPITAL - ACUTE CARE,49.0,-81.85106677,27.22740886,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,418.0,-81.60102814,30.28789348,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,304.0,-81.44051350,30.26487810,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,528.0,-81.69002108,30.30784450,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,619.0,-81.66472202,30.31561516,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,269.0,-81.53503482,30.13924705,,
JACKSONVILLE BEACH,DUVAL,HOSPITAL - ACUTE CARE,146.0,-81.39820417,30.27331201,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,311.0,-81.58287049,30.25387324,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,,-81.62181583,30.26245453,,
JACKSONVILLE,DUVAL,HOSPITAL - ACUTE CARE,,-81.66343043,30.34708941,,
JACKSONVILLE,DUVAL,HOSPITAL,160.0,-81.60117103,30.29025420,,
JACKSONVILLE,DUVAL,HOSPITAL,107.0,-81.61541820,30.27159649,,
JACKSONVILLE,DUVAL,HOSPITAL,84.0,-81.59733547,30.29016292,,
JACKSONVILLE,DUVAL,HOSPITAL,,-81.66197349,30.34452792,,
JACKSONVILLE,DUVAL,HOSPITAL,120.0,-81.59403815,30.25738496,,
JACKSONVILLE,DUVAL,HOSPITAL - TRAUMA,695.0,-81.66158925,30.34750111,,
JACKSONVILLE,DUVAL,HOSPITAL - TRAUMA,695.0,-81.66438802,30.34812999,,
PENSACOLA,ESCAMBIA,HOSPITAL - TRAUMA,566.0,-87.21151813,30.47569938,,
PENSACOLA ,ESCAMBIA,HOSPITAL - VA,,-87.29252000,30.39879000,,
PENSACOLA ,ESCAMBIA,HOSPITAL - VA,,-87.29750000,30.39850000,,
PENSACOLA,ESCAMBIA,HOSPITAL - TRAUMA,492.0,-87.23119084,30.42889772,,
PENSACOLA,ESCAMBIA,HOSPITAL,75.0,-87.21578030,30.47879443,,
PENSACOLA,ESCAMBIA,HOSPITAL - ACUTE CARE,515.0,-87.21750521,30.51548919,,
PALM COAST,FLAGLER,HOSPITAL - ACUTE CARE,99.0,-81.18990059,29.47898957,,
APALACHICOLA,FRANKLIN,HOSPITAL - ACUTE CARE,25.0,-84.99264323,29.72451272,,
CHATTAHOOCHEE,GADSDEN,HOSPITAL,1230.0,-84.83857111,30.70745311,,
QUINCY,GADSDEN,HOSPITAL - ACUTE CARE,4.0,-84.54861864,30.56899352,,
TRENTON,GILCHRIST,HOSPITAL,,-82.81883313,29.60753994,,
PORT SAINT JOE,GULF,HOSPITAL - ACUTE CARE,19.0,-85.28798285,29.77891529,,
WAUCHULA,HARDEE,HOSPITAL - ACUTE CARE,25.0,-81.81690527,27.53563213,,
CLEWISTON,HENDRY,HOSPITAL - ACUTE CARE,25.0,-80.94124923,26.75281761,,
SPRING HILL,HERNANDO,HOSPITAL - ACUTE CARE,124.0,-82.54036455,28.43747464,,
BROOKSVILLE,HERNANDO,HOSPITAL,66.0,-82.48421913,28.53277253,,
BROOKSVILLE,HERNANDO,HOSPITAL - ACUTE CARE,262.0,-82.53405961,28.53662124,,
BROOKSVILLE,HERNANDO,HOSPITAL - ACUTE CARE,120.0,-82.44282759,28.53860124,,
SEBRING,HIGHLANDS,HOSPITAL - ACUTE CARE,126.0,-81.43338156,27.46569212,,
SEBRING,HIGHLANDS,HOSPITAL - ACUTE CARE,147.0,-81.50594200,27.53905900,,
LAKE PLACID,HIGHLANDS,HOSPITAL - ACUTE CARE,50.0,-81.36980213,27.32055598,,
TAMPA,HILLSBOROUGH,HOSPITAL - ACUTE CARE,201.0,-82.57419670,28.00250098,,
TAMPA,HILLSBOROUGH,HOSPITAL - PEDIATRIC,60.0,-82.42283590,28.06153024,,
LUTZ,HILLSBOROUGH,HOSPITAL - ACUTE CARE,76.0,-82.50968117,28.12959793,,
TAMPA,HILLSBOROUGH,HOSPITAL - ACUTE CARE,206.0,-82.42135617,28.06410495,,
SUN CITY CENTER,HILLSBOROUGH,HOSPITAL - ACUTE CARE,112.0,-82.36529221,27.71349907,,
TAMPA,HILLSBOROUGH,HOSPITAL - ACUTE CARE,183.0,-82.48970589,27.93791613,,
BRANDON,HILLSBOROUGH,HOSPITAL - ACUTE CARE,422.0,-82.28774627,27.93281138,,
TAMPA,HILLSBOROUGH,HOSPITAL,73.0,-82.51886000,27.89806000,,
TAMPA,HILLSBOROUGH,HOSPITAL,60.0,-82.48928000,27.99208000,,
PLANT CITY,HILLSBOROUGH,HOSPITAL - ACUTE CARE,147.0,-82.13905300,28.01553410,,
RIVERVIEW,HILLSBOROUGH,HOSPITAL - ACUTE CARE,90.0,-82.34733400,27.78923000,,
TAMPA,HILLSBOROUGH,HOSPITAL,102.0,-82.48162206,27.98914819,,
TAMPA,HILLSBOROUGH,HOSPITAL - ACUTE CARE,120.0,-82.50405524,28.01352602,,
TAMPA,HILLSBOROUGH,HOSPITAL - ACUTE CARE,517.0,-82.42331939,28.07061780,,
TAMPA,HILLSBOROUGH,HOSPITAL - VA,415.0,-82.42805717,28.06444372,,
MACDILL AFB,HILLSBOROUGH,HOSPITAL - VA,,-82.50072563,27.85994784,,
TAMPA,HILLSBOROUGH,HOSPITAL - TRAUMA,780.0,-82.49091335,27.98233668,,
TAMPA,HILLSBOROUGH,HOSPITAL - TRAUMA,1011.0,-82.45841812,27.93812126,,
BRANDON,HILLSBOROUGH,HOSPITAL - VA,,-82.32632000,27.94365000,,
BONIFAY,HOLMES,HOSPITAL - ACUTE CARE,20.0,-85.68284435,30.76096055,,
VERO BEACH,INDIAN RIVER,HOSPITAL - ACUTE CARE,332.0,-80.39451773,27.65857609,,
SEBASTIAN,INDIAN RIVER,HOSPITAL - ACUTE CARE,154.0,-80.48903374,27.84366446,,
VERO BEACH,INDIAN RIVER,HOSPITAL,80.0,-80.40044051,27.66101437,,
MARIANNA,JACKSON,HOSPITAL - ACUTE CARE,100.0,-85.24154633,30.78687595,,
GRACEVILLE,JACKSON,HOSPITAL - ACUTE CARE,25.0,-85.50680081,30.96314424,,
TAVARES,LAKE,HOSPITAL - ACUTE CARE,269.0,-81.71069843,28.82345075,,
LEESBURG,LAKE,HOSPITAL - ACUTE CARE,2.0,-81.87440306,28.81790045,,
LEESBURG,LAKE,HOSPITAL - ACUTE CARE,308.0,-81.86832126,28.80749358,,
CLERMONT,LAKE,HOSPITAL - ACUTE CARE,170.0,-81.72220693,28.55193058,,
LEESBURG,LAKE,HOSPITAL,46.0,-81.89460863,28.83794133,,
FORT MYERS,LEE,HOSPITAL - ACUTE CARE,356.0,-81.84981503,26.54411470,,
CAPE CORAL,LEE,HOSPITAL,,-81.93800776,26.66854062,,
FORT MYERS,LEE,HOSPITAL,103.0,-81.90953907,26.51040323,,
FORT MYERS,LEE,HOSPITAL,,-81.87134914,26.59186653,,
CAPE CORAL,LEE,HOSPITAL - ACUTE CARE,291.0,-81.94217712,26.63922027,,
FORT MYERS,LEE,HOSPITAL - ACUTE CARE,60.0,-81.80271900,26.63107800,,
FORT MYERS,LEE,HOSPITAL - ACUTE CARE,368.0,-81.91297645,26.50729264,,
LEHIGH ACRES,LEE,HOSPITAL - ACUTE CARE,88.0,-81.65929373,26.61608252,,
CAPE CORAL,LEE,HOSPITAL - VA,,-81.92011764,26.68578387,,
FORT MYERS,LEE,HOSPITAL - TRAUMA,411.0,-81.87404774,26.62839039,,
FORT MYERS,LEE,HOSPITAL - VA,,-81.84948087,26.60550410,,
TALLAHASSEE,LEON,HOSPITAL - VA,,-84.24029000,30.45652000,,
TALLAHASSEE,LEON,HOSPITAL - VA,,-84.24804513,30.40998060,,
TALLAHASSEE,LEON,HOSPITAL - TRAUMA,772.0,-84.26210598,30.45624632,,
TALLAHASSEE,LEON,HOSPITAL - ACUTE CARE,266.0,-84.23119785,30.47580938,,
TALLAHASSEE,LEON,HOSPITAL,76.0,-84.23750184,30.45950674,,
TALLAHASSEE,LEON,HOSPITAL,46.0,-84.23932812,30.48774951,,
TALLAHASSEE,LEON,HOSPITAL,29.0,-84.25307467,30.46153658,,
WILLISTON,LEVY,HOSPITAL - ACUTE CARE,40.0,-82.45491655,29.38435034,,
MADISON,MADISON,HOSPITAL - ACUTE CARE,25.0,-83.41881755,30.47133365,,
BRADENTON,MANATEE,HOSPITAL - ACUTE CARE,120.0,-82.43546830,27.39106904,,
BRADENTON,MANATEE,HOSPITAL - TRAUMA,383.0,-82.62376910,27.48212916,,
BRADENTON,MANATEE,HOSPITAL - ACUTE CARE,295.0,-82.56215083,27.49739290,,
BRADENTON,MANATEE,HOSPITAL,27.0,-82.53968462,27.47566143,,
BRADENTON,MANATEE,HOSPITAL,60.0,-82.61296424,27.45973541,,
OCALA,MARION,HOSPITAL,64.0,-82.17006377,29.15560884,,
OCALA,MARION,HOSPITAL,421.0,-82.13897948,29.17491828,,
OCALA,MARION,HOSPITAL,15.0,-82.21919451,29.13070917,,
OCALA,MARION,HOSPITAL,31.0,-82.13818640,29.17342636,,
OCALA,MARION,HOSPITAL,50.0,-82.39559000,29.16664200,,
OCALA,MARION,HOSPITAL - ACUTE CARE,94.0,-82.20008912,29.14109295,,
OCALA,MARION,HOSPITAL - TRAUMA,222.0,-82.13683413,29.17535359,,
THE VILLAGES ,MARION,HOSPITAL - VA,,-82.00520000,28.98031000,,
STUART,MARTIN,HOSPITAL - ACUTE CARE,100.0,-80.22417696,27.13386809,,
STUART,MARTIN,HOSPITAL - ACUTE CARE,244.0,-80.24274305,27.20002045,,
TEQUESTA,MARTIN,HOSPITAL,,-80.10164261,26.97701557,,
STUART,MARTIN,HOSPITAL,44.0,-80.22200729,27.13276333,,
MIAMI,MIAMI-DADE,HOSPITAL,10.0,-80.21458382,25.78819733,,
CORAL GABLES,MIAMI-DADE,HOSPITAL,55.0,-80.27891419,25.76366466,,
NORTH MIAMI BEACH,MIAMI-DADE,HOSPITAL - ACUTE CARE,382.0,-80.20369565,25.93026843,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,728.0,-80.33937287,25.68413069,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,125.0,-80.31763293,25.74735483,,
FLORIDA CITY,MIAMI-DADE,HOSPITAL,249.0,-80.49142043,25.41943802,,
MIAMI,MIAMI-DADE,HOSPITAL,29.0,-80.21338736,25.74046133,,
MIAMI,MIAMI-DADE,HOSPITAL,60.0,-80.31674318,25.74699454,,
MIAMI,MIAMI-DADE,HOSPITAL,60.0,-80.34134014,25.57475729,,
MIAMI,MIAMI-DADE,HOSPITAL,47.0,-80.21084937,25.77701510,,
MIAMI,MIAMI-DADE,HOSPITAL,100.0,-80.21070602,25.79102402,,
MIAMI,MIAMI-DADE,HOSPITAL,32.0,-80.19250574,25.82282587,,
HIALEAH GARDENS,MIAMI-DADE,HOSPITAL,40.0,-80.34297957,25.88365649,,
NORTH MIAMI,MIAMI-DADE,HOSPITAL,22.0,-80.17731838,25.88990375,,
HIALEAH,MIAMI-DADE,HOSPITAL - ACUTE CARE,378.0,-80.26935262,25.84556311,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,133.0,-80.45595595,25.67816727,,
MIAMI BEACH,MIAMI-DADE,HOSPITAL - ACUTE CARE,955.0,-80.13829946,25.81539998,,
MIAMI BEACH,MIAMI-DADE,HOSPITAL - ACUTE CARE,672.0,-80.14045132,25.81343307,,
HIALEAH,MIAMI-DADE,HOSPITAL - ACUTE CARE,247.0,-80.31228601,25.86868128,,
HOMESTEAD,MIAMI-DADE,HOSPITAL - ACUTE CARE,142.0,-80.43002151,25.48003885,,
MIAMI LAKES,MIAMI-DADE,HOSPITAL - ACUTE CARE,60.0,-80.33234600,25.89927700,,
CORAL GABLES,MIAMI-DADE,HOSPITAL - ACUTE CARE,281.0,-80.27388202,25.72442075,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,337.0,-80.21437318,25.85949328,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,69.0,-80.29348516,25.77834270,,
HIALEAH,MIAMI-DADE,HOSPITAL - ACUTE CARE,72.0,-80.32152286,25.86037072,,
MIAMI,MIAMI-DADE,HOSPITAL - TRAUMA,417.0,-80.38605967,25.73083685,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,226.0,-80.34467451,25.62990567,,
HIALEH GARDENS,MIAMI-DADE,HOSPITAL - PEDIATRIC,20.0,-80.34051136,25.87619665,,
CORAL GABLES,MIAMI-DADE,HOSPITAL - ACUTE CARE,245.0,-80.25480404,25.74360547,,
SOUTH MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,146.0,-80.29315423,25.70561235,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,560.0,-80.21594460,25.78869585,,
MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,488.0,-80.21338736,25.74046133,,
SOUTH MIAMI,MIAMI-DADE,HOSPITAL - ACUTE CARE,453.0,-80.29390317,25.70332116,,
HIALEAH,MIAMI-DADE,HOSPITAL - ACUTE CARE,368.0,-80.32670421,25.88604208,,
MIAMI,MIAMI-DADE,HOSPITAL - VA,432.0,-80.21675693,25.79124486,,
AVENTURA,MIAMI-DADE,HOSPITAL - TRAUMA,407.0,-80.14532002,25.96960937,,
MIAMI,MIAMI-DADE,HOSPITAL - TRAUMA,289.0,-80.29446111,25.74142564,,
MIAMI,MIAMI-DADE,HOSPITAL - TRAUMA,1493.0,-80.21325745,25.79184269,,
KEY WEST,MONROE,HOSPITAL - VA,,-81.75073700,24.56853300,,
KEY WEST,MONROE,HOSPITAL - ACUTE CARE,118.0,-81.74236793,24.58096860,,
KEY WEST,MONROE,HOSPITAL - ACUTE CARE,49.0,-81.76735478,24.56442933,,
TAVERNIER,MONROE,HOSPITAL - ACUTE CARE,25.0,-80.52152566,25.00575166,,
MARATHON,MONROE,HOSPITAL - ACUTE CARE,25.0,-81.09446182,24.71072397,,
FERNANDINA BEACH,NASSAU,HOSPITAL - ACUTE CARE,62.0,-81.44849831,30.65362395,,
CRESTVIEW,OKALOOSA,HOSPITAL - ACUTE CARE,110.0,-86.56614515,30.73700291,,
NICEVILLE,OKALOOSA,HOSPITAL - ACUTE CARE,65.0,-86.49546619,30.53313153,,
DESTIN,OKALOOSA,HOSPITAL,20.0,-86.47220299,30.39411700,,
FORT WALTON BEACH,OKALOOSA,HOSPITAL,24.0,-86.63606100,30.45499800,,
FORT WALTON BEACH,OKALOOSA,HOSPITAL - ACUTE CARE,237.0,-86.63284958,30.45462200,,
EGLIN AFB,OKALOOSA,HOSPITAL - VA,,-86.55272000,30.45883000,,
OKEECHOBEE,OKEECHOBEE,HOSPITAL - ACUTE CARE,100.0,-80.82912945,27.25984314,,
ORLANDO,ORANGE,HOSPITAL - ACUTE CARE,794.0,-81.37816200,28.52599100,,
ORLANDO,ORANGE,HOSPITAL - ACUTE CARE,1289.0,-81.36956865,28.57556328,,
ORLANDO,ORANGE,HOSPITAL - ACUTE CARE,100.0,-81.27297355,28.37673992,,
WINTER PARK,ORANGE,HOSPITAL - ACUTE CARE,320.0,-81.32636871,28.59832364,,
OCOEE,ORANGE,HOSPITAL - ACUTE CARE,171.0,-81.52731535,28.55015150,,
APOPKA,ORANGE,HOSPITAL - ACUTE CARE,50.0,-81.50864947,28.68090897,,
ORLANDO,ORANGE,HOSPITAL,112.0,-81.19268888,28.58171412,,
ORLANDO,ORANGE,HOSPITAL,,,,,
ORLANDO,ORANGE,HOSPITAL,,-81.37909277,28.52451755,,
MAITLAND,ORANGE,HOSPITAL,40.0,-81.36499331,28.61302200,,
ORLANDO,ORANGE,HOSPITAL,126.0,-81.46981352,28.40888593,,
ORLANDO,ORANGE,HOSPITAL,35.0,-81.37027369,28.57194747,,
ORLANDO,ORANGE,HOSPITAL,56.0,-81.43445917,28.56717604,,
ORLANDO,ORANGE,HOSPITAL,473.0,-81.37922137,28.52326334,,
ORLANDO,ORANGE,HOSPITAL - ACUTE CARE,237.0,-81.47730303,28.42917133,,
ORLANDO,ORANGE,HOSPITAL - ACUTE CARE,295.0,-81.28017676,28.54093712,,
ORLANDO,ORANGE,HOSPITAL,40.0,-81.37039418,28.47736935,,
ORLANDO,ORANGE,HOSPITAL - VA,100.0,-81.32105916,28.58000631,,
ORLANDO,ORANGE,HOSPITAL - VA,,,,,
KISSIMMEE,OSCEOLA,HOSPITAL - TRAUMA,332.0,-81.40896602,28.29951252,,
SAINT CLOUD,OSCEOLA,HOSPITAL - ACUTE CARE,84.0,-81.30283580,28.24360932,,
KISSIMMEE ,OSCEOLA,HOSPITAL - ACUTE CARE,76.0,-81.47645787,28.14473803,,
CELEBRATION,OSCEOLA,HOSPITAL - ACUTE CARE,227.0,-81.54146747,28.32855921,,
KISSIMMEE,OSCEOLA,HOSPITAL - ACUTE CARE,162.0,-81.40593026,28.31609024,,
ATLANTIS,PALM BEACH,HOSPITAL - ACUTE CARE,472.0,-80.09213194,26.59766694,,
BOCA RATON,PALM BEACH,HOSPITAL - ACUTE CARE,400.0,-80.10284294,26.35884767,,
BOYNTON BEACH,PALM BEACH,HOSPITAL - ACUTE CARE,80.0,-80.19976691,26.52979293,,
JUPITER,PALM BEACH,HOSPITAL - ACUTE CARE,207.0,-80.09707480,26.92289646,,
BELLE GLADE,PALM BEACH,HOSPITAL - ACUTE CARE,70.0,-80.67179153,26.72422165,,
WEST PALM BEACH,PALM BEACH,HOSPITAL - ACUTE CARE,245.0,-80.08786058,26.76141075,,
BOCA RATON,PALM BEACH,HOSPITAL - ACUTE CARE,195.0,-80.19976160,26.35645284,,
PALM BEACH GARDENS,PALM BEACH,HOSPITAL - ACUTE CARE,199.0,-80.08605159,26.82920450,,
BOYNTON BEACH,PALM BEACH,HOSPITAL - ACUTE CARE,401.0,-80.07071061,26.50530230,,
WELLINGTON,PALM BEACH,HOSPITAL - ACUTE CARE,233.0,-80.20586588,26.65171747,,
WEST PALM BEACH,PALM BEACH,HOSPITAL - ACUTE CARE,333.0,-80.05116348,26.72540109,,
LOXAHATCHEE,PALM BEACH,HOSPITAL - ACUTE CARE,204.0,-80.25258541,26.68375632,,
LAKE WORTH,PALM BEACH,HOSPITAL,60.0,-80.09143990,26.60920890,,
RIVIERA BEACH,PALM BEACH,HOSPITAL,70.0,-80.11040464,26.78293439,,
WEST PALM BEACH,PALM BEACH,HOSPITAL,44.0,-80.06746806,26.75401026,,
BOYNTON BEACH,PALM BEACH,HOSPITAL - TRAUMA,,-80.14956435,26.51503921,,
DELRAY BEACH,PALM BEACH,HOSPITAL - TRAUMA,493.0,-80.12708353,26.43717471,,
WEST PALM BEACH,PALM BEACH,HOSPITAL - TRAUMA,464.0,-80.06187425,26.75591550,,
WEST PALM BEACH,PALM BEACH,HOSPITAL - VA,270.0,-80.11212534,26.78527577,,
NEW PORT RICHEY ,PASCO,HOSPITAL - VA,,-82.66891000,28.30053000,,
NEW PORT RICHEY,PASCO,HOSPITAL,,-82.69173603,28.22398834,,
LAND O LAKES,PASCO,HOSPITAL,50.0,-82.48996177,28.29528261,,
WESLEY CHAPEL,PASCO,HOSPITAL - ACUTE CARE,83.0,-82.35112875,28.19557221,,
WESLEY CHAPEL,PASCO,HOSPITAL,75.0,-82.34450000,28.18930000,,
LUTZ,PASCO,HOSPITAL,72.0,-82.45515074,28.18683201,,
ZEPHYRHILLS,PASCO,HOSPITAL - ACUTE CARE,140.0,-82.18519553,28.26088010,,
TRINITY,PASCO,HOSPITAL - ACUTE CARE,242.0,-82.66006226,28.20378611,,
NEW PORT RICHEY,PASCO,HOSPITAL - ACUTE CARE,156.0,-82.71446023,28.25407225,,
HUDSON,PASCO,HOSPITAL - ACUTE CARE,290.0,-82.68823823,28.36127404,,
DADE CITY,PASCO,HOSPITAL - ACUTE CARE,120.0,-82.20071840,28.34799249,,
NEW PORT RICHEY,PASCO,HOSPITAL - ACUTE CARE,46.0,-82.72076009,28.23570978,,
SAINT PETERSBURG,PINELLAS,HOSPITAL - ACUTE CARE,288.0,-82.70233130,27.82523007,,
SAINT PETERSBURG,PINELLAS,HOSPITAL - ACUTE CARE,162.0,-82.66426453,27.78166672,,
SAINT PETERSBURG,PINELLAS,HOSPITAL - ACUTE CARE,307.0,-82.74069145,27.75225616,,
SAINT PETERSBURG,PINELLAS,HOSPITAL - ACUTE CARE,215.0,-82.72781447,27.80553615,,
SAINT PETERSBURG,PINELLAS,HOSPITAL - ACUTE CARE,393.0,-82.65077378,27.77897000,,
LARGO,PINELLAS,HOSPITAL - ACUTE CARE,169.0,-82.82531425,27.89845727,,
